date,education_level,employment_population_ratio
2020-09-01,some_college_assoc,58.3
2020-10-01,some_college_assoc,58.5
2020-11-01,some_college_assoc,58.4
2020-12-01,some_college_assoc,58.6
2021-01-01,some_college_assoc,58.5
2021-02-01,some_college_assoc,59.1
2021-03-01,some_college_assoc,59.5
2021-04-01,some_college_assoc,59.4
2021-05-01,some_college_assoc,59.8
2021-06-01,some_college_assoc,59.5
2021-07-01,some_college_assoc,59.9
2021-08-01,some_college_assoc,60.3
2021-09-01,some_college_assoc,60.1
2021-10-01,some_college_assoc,60.1
2021-11-01,some_college_assoc,60.2
2021-12-01,some_college_assoc,60.5
2022-01-01,some_college_assoc,60.8
2022-02-01,some_college_assoc,61.2
2022-03-01,some_college_assoc,61.5
2022-04-01,some_college_assoc,61.4
2022-05-01,some_college_assoc,61.6
2022-06-01,some_college_assoc,60.8
2022-07-01,some_college_assoc,60.9
2022-08-01,some_college_assoc,61.2
2022-09-01,some_college_assoc,60.8
2022-10-01,some_college_assoc,60.8
2022-11-01,some_college_assoc,60.9
2022-12-01,some_college_assoc,60.9
2023-01-01,some_college_assoc,61.5
2023-02-01,some_college_assoc,61.3
2023-03-01,some_college_assoc,61.6
2023-04-01,some_college_assoc,61.0
2023-05-01,some_college_assoc,61.2
2023-06-01,some_college_assoc,60.7
2023-07-01,some_college_assoc,60.9
2023-08-01,some_college_assoc,61.4
2023-09-01,some_college_assoc,60.8
2023-10-01,some_college_assoc,60.3
2023-11-01,some_college_assoc,60.5
2023-12-01,some_college_assoc,60.5
2024-01-01,some_college_assoc,60.5
2024-02-01,some_college_assoc,61.3
2024-03-01,some_college_assoc,61.0
2024-04-01,some_college_assoc,60.7
2024-05-01,some_college_assoc,61.1
2024-06-01,some_college_assoc,60.6
2024-07-01,some_college_assoc,60.8
2024-08-01,some_college_assoc,61.4
2024-09-01,some_college_assoc,60.9
2024-10-01,some_college_assoc,60.1
2024-11-01,some_college_assoc,60.2
2024-12-01,some_college_assoc,60.5
2025-01-01,some_college_assoc,60.5
2025-02-01,some_college_assoc,61.1
2025-03-01,some_college_assoc,60.3
2025-04-01,some_college_assoc,60.5
2025-05-01,some_college_assoc,60.8
2025-06-01,some_college_assoc,60.9
2025-07-01,some_college_assoc,61.1
2025-08-01,some_college_assoc,61.5
2025-09-01,some_college_assoc,60.7
2019-01-01,high_school,55.9
2019-02-01,high_school,55.9
2019-03-01,high_school,55.7
2019-04-01,high_school,55.8
2019-05-01,high_school,55.4
2019-06-01,high_school,55.7
2019-07-01,high_school,55.8
2019-08-01,high_school,55.5
2019-09-01,high_school,56.0
2019-10-01,high_school,55.6
2019-11-01,high_school,55.9
2019-12-01,high_school,56.2
2020-01-01,high_school,56.1
2020-02-01,high_school,56.0
2020-03-01,high_school,54.6
2020-04-01,high_school,45.1
2020-05-01,high_school,46.6
2020-06-01,high_school,48.6
2020-07-01,high_school,49.6
2020-08-01,high_school,49.7
2020-09-01,high_school,50.4
2020-10-01,high_school,51.5
2020-11-01,high_school,51.3
2020-12-01,high_school,51.0
2021-01-01,high_school,50.8
2021-02-01,high_school,50.5
2021-03-01,high_school,51.0
2021-04-01,high_school,51.5
2021-05-01,high_school,51.7
2021-06-01,high_school,52.0
2021-07-01,high_school,52.0
2021-08-01,high_school,52.1
2021-09-01,high_school,52.3
2021-10-01,high_school,52.4
2021-11-01,high_school,53.1
2021-12-01,high_school,53.3
2022-01-01,high_school,54.3
2022-02-01,high_school,53.6
2022-03-01,high_school,54.4
2022-04-01,high_school,54.5
2022-05-01,high_school,54.5
2022-06-01,high_school,54.6
2022-07-01,high_school,54.0
2022-08-01,high_school,53.8
2022-09-01,high_school,54.1
2022-10-01,high_school,53.9
2022-11-01,high_school,53.7
2022-12-01,high_school,54.3
2023-01-01,high_school,54.1
2023-02-01,high_school,53.9
2023-03-01,high_school,53.8
2023-04-01,high_school,54.2
2023-05-01,high_school,54.6
2023-06-01,high_school,54.8
2023-07-01,high_school,54.6
2023-08-01,high_school,54.2
2023-09-01,high_school,54.5
2023-10-01,high_school,54.7
2023-11-01,high_school,55.1
2023-12-01,high_school,54.9
2024-01-01,high_school,54.6
2024-02-01,high_school,54.6
2024-03-01,high_school,54.9
2024-04-01,high_school,54.4
2024-05-01,high_school,54.4
2024-06-01,high_school,54.7
2024-07-01,high_school,54.3
2024-08-01,high_school,54.5
2024-09-01,high_school,54.4
2024-10-01,high_school,54.5
2024-11-01,high_school,54.3
2024-12-01,high_school,54.5
2025-01-01,high_school,54.5
2025-02-01,high_school,53.8
2025-03-01,high_school,54.1
2025-04-01,high_school,54.5
2025-05-01,high_school,54.1
2025-06-01,high_school,54.8
2025-07-01,high_school,54.0
2025-08-01,high_school,54.4
2025-09-01,high_school,54.2
