Completion Year,State,Total,Degree-granting,"Non-degree-granting, primarily postsecondary",American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,Male,Female
2023-24,New York,"301,450","284,989","16,461",766,,"31,563",305,"34,092","47,678","126,476","8,665","10,135","41,770","118,750","182,700"
2023-24,North Carolina,"164,370","163,162","1,208","1,526",,"6,591",166,"29,735","17,907","90,350","5,562","4,776","7,757","68,475","95,895"
2023-24,North Dakota,"12,648","12,269",379,631,,183,9,349,520,"9,697",472,149,638,"5,576","7,072"
2023-24,Ohio,"164,617","152,184","12,433",379,,"5,807",160,"18,686","7,946","109,792","5,757","6,350","9,740","68,610","96,007"
2023-24,Oklahoma,"62,327","46,198","16,129","5,326",,"1,925",95,"4,340","7,624","33,635","5,764","1,363","2,255","26,548","35,779"
2023-24,Oregon,"50,751","49,228","1,523",408,,"3,131",212,"1,334","7,952","30,441","3,323","1,937","2,013","20,792","29,959"
2023-24,Pennsylvania,"173,687","165,792","7,895",234,,"12,656",141,"16,393","13,482","104,287","5,701","5,935","14,858","71,620","102,067"
2023-24,Rhode Island,"20,859","19,092","1,767",45,,"1,149",11,"1,620","2,843","12,226",728,905,"1,332","8,813","12,046"
2023-24,South Carolina,"63,825","61,117","2,708",200,,"1,302",68,"12,227","4,036","40,143","2,485","1,645","1,719","25,410","38,415"
2023-24,South Dakota,"11,951","11,737",214,516,,209,14,379,436,"9,387",242,183,585,"5,403","6,548"
2023-24,Tennessee,"88,939","79,352","9,587",249,,"2,744",99,"14,000","5,789","57,762","3,066","2,092","3,138","35,164","53,775"
2023-24,Texas,"410,427","393,142","17,285","1,399",,"28,137",477,"45,195","156,868","131,466","11,616","10,261","25,008","170,443","239,984"
2023-24,Utah,"133,878","121,183","12,695","1,065",,"4,283",638,"5,293","14,987","94,374","4,048","6,798","2,392","54,460","79,418"
2023-24,Vermont,"9,736","9,540",196,22,,319,6,330,581,"7,470",344,361,303,"4,132","5,604"
2023-24,Virginia,"142,909","140,349","2,560",413,,"9,953",276,"23,508","13,089","74,588","5,883","9,173","6,026","58,744","84,165"
2023-24,Washington,"90,972","87,766","3,206",815,,"10,198",409,"4,333","14,319","44,094","6,184","4,835","5,785","36,802","54,170"
2023-24,West Virginia,"38,895","37,430","1,465",159,,782,199,"4,110","3,461","25,663","1,536","2,252",733,"19,628","19,267"
2023-24,Wisconsin,"90,737","89,540","1,197",582,,"4,096",80,"4,423","7,681","64,554","2,905","2,439","3,977","36,441","54,296"
2023-24,Wyoming,"7,534","7,501",33,98,,78,27,58,945,"5,557",248,309,214,"3,722","3,812"
2022-23,Total,"5,218,948","4,968,383","250,565","31,076",,"359,202","11,301","581,014","952,279","2,572,193","189,859","205,554","316,470","2,112,088","3,106,860"
2022-23,Alabama,"80,834","78,977","1,857",425,,"1,744",84,"16,341","3,640","50,937","2,265","2,836","2,562","34,392","46,442"
2022-23,Alaska,"5,014","4,920",94,498,,276,56,170,510,"2,687",451,291,75,"1,737","3,277"
2022-23,Arizona,"177,369","170,976","6,393","3,140",,"7,608",783,"18,776","43,148","75,633","6,864","15,684","5,733","67,547","109,822"
2022-23,Arkansas,"52,321","51,073","1,248",366,,"1,064",66,"7,514","4,460","34,193","2,080",678,"1,900","20,325","31,996"
2022-23,California,"712,076","676,844","35,232","2,162",,"108,498","2,851","34,283","283,310","178,017","32,737","30,056","40,162","284,442","427,634"
2022-23,Colorado,"93,498","89,835","3,663",804,,"3,478",223,"6,317","17,307","53,177","4,053","5,162","2,977","38,998","54,500"
2022-23,Connecticut,"52,759","47,917","4,842",97,,"3,061",52,"5,641","7,760","27,613","1,865","1,829","4,841","21,775","30,984"
2022-23,Delaware,"13,426","12,466",960,37,,553,9,"2,463","1,173","7,221",502,293,"1,175","4,937","8,489"
2022-23,District of Columbia,"30,339","30,152",187,123,,"2,504",45,"5,904","3,071","12,247","1,084","1,570","3,791","11,664","18,675"
2022-23,Florida,"327,456","296,349","31,107",788,,"12,023",648,"52,675","96,386","128,316","10,696","10,147","15,777","129,693","197,763"
2022-23,Georgia,"156,693","152,911","3,782",352,,"9,139",170,"45,701","14,430","70,802","4,766","2,704","8,629","62,246","94,447"
2022-23,Hawaii,"12,193","12,009",184,25,,"3,794",681,190,"1,427","2,032","3,072",175,797,"4,534","7,659"
2022-23,Idaho,"28,035","26,644","1,391",145,,591,111,472,"3,854","20,757",893,636,576,"10,682","17,353"
2022-23,Illinois,"209,301","201,445","7,856",468,,"15,521",278,"23,463","36,219","102,520","5,916","7,870","17,046","86,053","123,248"
2022-23,Indiana,"129,353","126,867","2,486",324,,"5,509",194,"11,326","9,719","84,714","4,795","4,224","8,548","54,331","75,022"
2022-23,Iowa,"53,189","52,083","1,106",166,,"1,576",59,"2,482","4,117","38,467","1,546","2,476","2,300","23,019","30,170"
2022-23,Kansas,"52,571","50,127","2,444",509,,"1,686",95,"3,050","6,243","33,544","2,140","2,913","2,391","21,998","30,573"
2022-23,Kentucky,"90,081","88,763","1,318",177,,"2,026",102,"6,772","4,082","65,819","2,539","6,029","2,535","41,033","49,048"
2022-23,Louisiana,"67,037","60,127","6,910",415,,"1,942",139,"19,460","3,769","35,711","1,888","1,763","1,950","25,528","41,509"
2022-23,Maine,"14,872","14,225",647,95,,393,16,603,548,"11,794",424,556,443,"5,533","9,339"
2022-23,Maryland,"87,956","85,414","2,542",221,,"7,857",149,"19,984","8,332","36,166","3,531","3,495","8,221","38,239","49,717"
2022-23,Massachusetts,"137,001","133,439","3,562",178,,"12,496",93,"9,053","13,326","66,724","4,257","7,039","23,835","56,973","80,028"
2022-23,Michigan,"124,578","118,639","5,939",520,,"6,342",112,"12,556","7,114","79,630","4,364","5,151","8,789","52,321","72,257"
2022-23,Minnesota,"101,985","100,503","1,482",574,,"6,238",160,"14,660","7,182","61,534","3,272","4,198","4,167","34,073","67,912"
2022-23,Mississippi,"46,698","44,321","2,377",195,,602,20,"16,435","1,443","25,372",941,952,738,"18,056","28,642"
2022-23,Missouri,"91,971","88,867","3,104",373,,"3,387",135,"7,888","5,454","60,251","3,491","2,618","8,374","38,080","53,891"
2022-23,Montana,"11,232","10,995",237,630,,399,20,123,535,"8,443",431,420,231,"4,584","6,648"
2022-23,Nebraska,"31,120","30,638",482,142,,"1,001",34,"1,331","3,229","22,254","1,207",845,"1,077","13,522","17,598"
2022-23,Nevada,"29,909","26,311","3,598",202,,"3,185",278,"2,404","9,081","10,984","2,215","1,024",536,"11,191","18,718"
2022-23,New Hampshire,"50,080","49,593",487,180,,"1,688",136,"5,260","4,497","30,006","1,292","5,223","1,798","18,744","31,336"
2022-23,New Jersey,"103,245","92,596","10,649",135,,"10,055",156,"12,758","21,204","44,094","2,827","4,830","7,186","44,254","58,991"
2022-23,New Mexico,"32,329","31,364",965,"2,457",,765,72,855,"15,677","9,560",989,"1,188",766,"11,940","20,389"
2022-23,New York,"308,074","293,435","14,639",738,,"32,116",349,"34,157","47,639","132,004","8,628","10,872","41,571","120,597","187,477"
2022-23,North Carolina,"155,420","153,903","1,517","1,462",,"6,198",168,"27,218","15,296","87,578","5,197","4,554","7,749","63,206","92,214"
2022-23,North Dakota,"12,726","12,411",315,561,,171,12,369,551,"9,789",487,203,583,"5,422","7,304"
2022-23,Ohio,"175,497","163,262","12,235",445,,"5,934",161,"20,444","9,061","117,386","5,789","6,963","9,314","73,684","101,813"
2022-23,Oklahoma,"59,386","45,123","14,263","5,012",,"1,974",89,"4,174","6,821","32,622","4,993","1,563","2,138","25,086","34,300"
2022-23,Oregon,"50,400","48,852","1,548",446,,"3,135",247,"1,219","7,448","30,502","2,997","2,211","2,195","20,254","30,146"
2022-23,Pennsylvania,"179,037","171,317","7,720",268,,"12,218",135,"16,460","13,392","109,461","5,311","6,525","15,267","73,965","105,072"
2022-23,Rhode Island,"20,908","19,148","1,760",51,,"1,044",10,"1,567","2,724","12,373",684,"1,073","1,382","8,875","12,033"
2022-23,South Carolina,"63,844","61,429","2,415",254,,"1,441",63,"12,324","3,659","40,735","2,321","1,533","1,514","25,032","38,812"
2022-23,South Dakota,"12,042","11,821",221,476,,186,24,353,421,"9,617",279,258,428,"5,392","6,650"
2022-23,Tennessee,"87,270","77,727","9,543",206,,"2,467",69,"13,206","5,220","58,161","2,669","2,434","2,838","34,691","52,579"
2022-23,Texas,"395,476","379,805","15,671","1,369",,"26,734",448,"43,329","149,092","133,730","10,906","7,673","22,195","161,040","234,436"
2022-23,Utah,"118,329","107,406","10,923",942,,"3,785",569,"4,422","12,391","83,764","3,461","6,294","2,701","46,302","72,027"
2022-23,Vermont,"10,109","9,943",166,25,,305,6,381,628,"7,630",361,437,336,"4,313","5,796"
2022-23,Virginia,"139,587","136,949","2,638",372,,"9,677",232,"22,710","11,727","73,706","5,737","9,697","5,729","57,703","81,884"
2022-23,Washington,"89,264","86,096","3,168",737,,"9,996",457,"3,982","13,064","44,891","6,419","3,938","5,780","35,677","53,587"
2022-23,West Virginia,"37,348","35,892","1,456",161,,770,148,"3,613","2,997","25,488","1,277","2,015",879,"18,681","18,667"
2022-23,Wisconsin,"90,203","88,997","1,206",539,,"3,971",69,"4,122","7,082","65,886","2,698","2,097","3,739","36,013","54,190"
2022-23,Wyoming,"7,507","7,477",30,89,,79,18,54,819,"5,651",252,339,206,"3,711","3,796"
2021-22,Total,"5,239,442","4,989,892","249,550","31,075",,"359,376","12,059","589,507","937,460","2,637,300","184,384","216,258","272,023","2,094,071","3,145,371"
2021-22,Alabama,"79,833","78,926",907,432,,"1,577",77,"16,441","3,168","50,663","2,120","3,133","2,222","33,621","46,212"
2021-22,Alaska,"4,075","3,983",92,372,,237,77,123,317,"2,185",415,274,75,"1,561","2,514"
2021-22,Arizona,"175,884","169,820","6,064","3,113",,"7,466",797,"19,019","42,395","76,522","6,566","15,869","4,137","64,732","111,152"
2021-22,Arkansas,"53,053","51,867","1,186",354,,"1,012",54,"7,821","4,049","35,609","2,045",692,"1,417","20,240","32,813"
2021-22,California,"727,526","694,872","32,654","2,301",,"111,949","2,961","35,787","282,457","186,100","31,988","32,519","41,464","285,373","442,153"
2021-22,Colorado,"94,902","91,684","3,218",720,,"3,515",239,"6,108","16,596","54,017","3,981","6,770","2,956","39,933","54,969"
2021-22,Connecticut,"51,535","46,772","4,763",120,,"2,972",48,"5,708","7,449","28,100","1,833","1,769","3,536","20,690","30,845"
2021-22,Delaware,"13,906","13,010",896,46,,546,17,"2,555","1,207","7,773",478,302,982,"4,870","9,036"
2021-22,District of Columbia,"28,736","28,560",176,63,,"2,228",36,"5,794","2,683","12,041","1,019","1,467","3,405","11,012","17,724"
2021-22,Florida,"342,068","309,529","32,539",797,,"12,060",679,"56,599","100,022","133,791","10,711","12,830","14,579","133,554","208,514"
2021-22,Georgia,"153,198","149,946","3,252",392,,"8,730",186,"44,853","13,389","71,224","4,646","2,642","7,136","60,299","92,899"
2021-22,Hawaii,"13,141","12,869",272,20,,"4,084",722,207,"1,591","2,111","3,366",166,874,"4,926","8,215"
2021-22,Idaho,"27,686","26,232","1,454",171,,584,107,375,"3,625","20,573",949,574,728,"10,469","17,217"
2021-22,Illinois,"206,716","198,962","7,754",418,,"15,137",272,"22,717","34,922","107,046","5,599","8,002","12,603","82,570","124,146"
2021-22,Indiana,"125,999","123,593","2,406",268,,"5,055",183,"11,275","8,961","86,734","4,404","3,103","6,016","51,801","74,198"
2021-22,Iowa,"52,355","51,384",971,190,,"1,515",61,"2,444","3,699","37,764","1,370","2,733","2,579","22,694","29,661"
2021-22,Kansas,"52,393","50,467","1,926",492,,"1,546",91,"3,086","5,637","34,031","1,940","3,649","1,921","21,516","30,877"
2021-22,Kentucky,"89,144","87,844","1,300",151,,"1,771",87,"6,053","3,704","64,446","2,492","5,373","5,067","40,485","48,659"
2021-22,Louisiana,"65,750","59,172","6,578",433,,"1,774",223,"17,845","3,752","35,553","1,778","2,399","1,993","24,732","41,018"
2021-22,Maine,"14,902","14,224",678,98,,398,16,542,513,"11,912",405,625,393,"5,651","9,251"
2021-22,Maryland,"87,910","85,375","2,535",223,,"7,739",154,"20,068","7,955","38,092","3,442","3,804","6,433","37,511","50,399"
2021-22,Massachusetts,"137,340","133,353","3,987",198,,"12,022",99,"9,511","13,549","69,084","4,090","7,827","20,960","56,350","80,990"
2021-22,Michigan,"122,956","116,383","6,573",603,,"6,016",121,"12,402","6,808","80,975","4,064","4,673","7,294","51,242","71,714"
2021-22,Minnesota,"103,702","102,283","1,419",553,,"6,251",184,"13,894","6,685","63,959","3,289","4,976","3,911","35,005","68,697"
2021-22,Mississippi,"47,035","44,902","2,133",211,,662,29,"16,865","1,256","25,289",853,"1,090",780,"17,798","29,237"
2021-22,Missouri,"90,383","87,486","2,897",337,,"3,320",138,"8,423","5,341","61,847","3,071","2,546","5,360","36,337","54,046"
2021-22,Montana,"11,143","10,941",202,601,,427,13,115,423,"8,547",421,338,258,"4,627","6,516"
2021-22,Nebraska,"32,033","31,541",492,175,,"1,067",46,"1,327","3,120","22,894","1,125",987,"1,292","13,504","18,529"
2021-22,Nevada,"30,250","26,622","3,628",201,,"3,162",293,"2,457","8,748","11,557","2,134","1,104",594,"11,016","19,234"
2021-22,New Hampshire,"44,131","43,629",502,192,,"1,227",115,"4,417","3,683","27,540",895,"4,547","1,515","16,504","27,627"
2021-22,New Jersey,"103,406","92,717","10,689",174,,"10,319",190,"13,170","21,345","45,254","2,558","4,955","5,441","43,574","59,832"
2021-22,New Mexico,"29,808","28,825",983,"2,111",,687,73,876,"14,102","9,296",807,"1,037",819,"10,827","18,981"
2021-22,New York,"315,276","299,774","15,502",829,,"32,641",423,"37,614","49,735","140,443","8,505","11,466","33,620","122,410","192,866"
2021-22,North Carolina,"158,361","156,462","1,899","1,670",,"6,191",181,"28,170","14,427","91,700","5,192","4,887","5,943","63,748","94,613"
2021-22,North Dakota,"12,903","12,611",292,540,,191,13,375,445,"10,111",431,220,577,"5,549","7,354"
2021-22,Ohio,"176,822","164,416","12,406",401,,"5,852",181,"20,834","8,570","120,685","5,868","6,700","7,731","74,151","102,671"
2021-22,Oklahoma,"59,210","44,884","14,326","4,966",,"1,931",81,"4,358","6,312","33,589","4,860","1,498","1,615","25,289","33,921"
2021-22,Oregon,"52,317","50,555","1,762",478,,"3,248",264,"1,264","7,252","32,034","2,978","2,524","2,275","20,701","31,616"
2021-22,Pennsylvania,"181,899","174,352","7,547",263,,"11,554",151,"16,828","12,839","115,306","5,655","6,518","12,785","73,851","108,048"
2021-22,Rhode Island,"20,933","19,383","1,550",46,,"1,034",16,"1,518","2,610","12,420",677,"1,358","1,254","8,754","12,179"
2021-22,South Carolina,"59,588","57,347","2,241",176,,"1,297",53,"11,627","3,123","38,160","1,925","1,904","1,323","23,428","36,160"
2021-22,South Dakota,"11,762","11,524",238,428,,184,18,325,413,"9,621",263,148,362,"5,129","6,633"
2021-22,Tennessee,"85,496","76,257","9,239",241,,"2,390",78,"13,432","4,643","58,159","2,560","1,967","2,026","33,050","52,446"
2021-22,Texas,"393,346","374,425","18,921","1,325",,"26,774",504,"45,083","146,356","138,580","10,677","7,622","16,425","157,593","235,753"
2021-22,Utah,"118,010","107,501","10,509","1,053",,"3,788",639,"4,056","11,982","84,252","3,138","6,952","2,150","47,255","70,755"
2021-22,Vermont,"10,329","10,205",124,29,,340,8,386,582,"7,851",359,395,379,"4,615","5,714"
2021-22,Virginia,"141,912","139,362","2,550",433,,"9,792",258,"23,236","11,800","75,478","5,865","10,348","4,702","57,639","84,273"
2021-22,Washington,"94,993","92,226","2,767",854,,"10,311",537,"3,829","13,150","49,247","6,548","4,635","5,882","38,647","56,346"
2021-22,West Virginia,"36,869","35,522","1,347",146,,706,169,"3,664","2,785","25,373","1,220","1,919",887,"18,260","18,609"
2021-22,Wisconsin,"89,387","88,209","1,178",579,,"4,036",82,"3,958","6,646","66,351","2,562","2,042","3,131","35,688","53,699"
2021-22,Wyoming,"7,130","7,104",26,88,,61,15,73,639,"5,411",247,380,216,"3,290","3,840"
2020-21,Total,"5,242,994","5,006,354","236,640","30,791",,"344,399","12,096","587,071","906,230","2,674,671","177,695","213,074","296,967","2,098,351","3,144,643"
2020-21,Alabama,"80,207","79,121","1,086",480,,"1,528",68,"16,362","3,154","50,532","1,954","3,741","2,388","33,266","46,941"
2020-21,Alaska,"4,517","4,427",90,388,,246,66,115,359,"2,525",429,302,87,"1,753","2,764"
2020-21,Arizona,"173,348","168,287","5,061","2,885",,"7,082",800,"19,763","39,604","76,682","6,219","15,279","5,034","63,647","109,701"
2020-21,Arkansas,"49,997","48,564","1,433",301,,905,49,"7,003","3,724","34,222","1,697",628,"1,468","19,174","30,823"
2020-21,California,"713,621","683,941","29,680","2,270",,"107,530","3,013","35,068","270,550","187,990","30,916","32,287","43,997","276,054","437,567"
2020-21,Colorado,"91,942","89,149","2,793",746,,"3,289",229,"5,579","15,457","54,172","3,771","5,553","3,146","39,335","52,607"
2020-21,Connecticut,"50,840","46,064","4,776",117,,"2,849",52,"5,670","6,892","27,869","1,970","1,790","3,631","21,203","29,637"
2020-21,Delaware,"14,250","13,254",996,45,,541,26,"2,612","1,201","7,980",430,280,"1,135","5,004","9,246"
2020-21,District of Columbia,"29,868","29,579",289,51,,"2,234",41,"6,128","2,674","12,275","1,025","1,576","3,864","11,587","18,281"
2020-21,Florida,"347,495","317,668","29,827",834,,"11,803",699,"56,499","98,265","138,233","10,114","15,341","15,707","136,778","210,717"
2020-21,Georgia,"154,032","151,020","3,012",414,,"8,072",175,"45,473","12,468","73,227","4,330","2,800","7,073","60,363","93,669"
2020-21,Hawaii,"13,446","13,203",243,30,,"4,299",691,233,"1,500","2,099","3,312",260,"1,022","5,299","8,147"
2020-21,Idaho,"27,371","26,092","1,279",180,,509,99,326,"2,801","20,270","1,147",890,"1,149","10,759","16,612"
2020-21,Illinois,"202,543","195,468","7,075",414,,"14,475",264,"21,867","32,911","105,993","5,363","7,670","13,586","79,365","123,178"
2020-21,Indiana,"123,925","121,721","2,204",303,,"4,366",175,"11,202","8,345","85,766","4,211","2,673","6,884","50,598","73,327"
2020-21,Iowa,"52,060","51,214",846,186,,"1,468",52,"2,435","3,474","37,533","1,307","2,827","2,778","22,728","29,332"
2020-21,Kansas,"53,824","52,036","1,788",630,,"1,451",90,"3,489","5,582","34,852","2,009","2,178","3,543","22,032","31,792"
2020-21,Kentucky,"86,790","85,601","1,189",138,,"1,479",102,"5,790","3,178","65,220","2,337","4,047","4,499","40,372","46,418"
2020-21,Louisiana,"65,815","58,696","7,119",399,,"1,721",241,"18,250","3,729","35,465","1,719","2,153","2,138","24,898","40,917"
2020-21,Maine,"14,602","13,950",652,84,,381,12,513,429,"11,779",379,669,356,"5,527","9,075"
2020-21,Maryland,"89,473","86,985","2,488",213,,"7,438",180,"20,457","7,973","38,857","3,422","3,648","7,285","37,935","51,538"
2020-21,Massachusetts,"135,092","131,139","3,953",215,,"11,171",84,"9,294","13,236","69,067","3,757","7,228","21,040","55,894","79,198"
2020-21,Michigan,"125,304","118,816","6,488",595,,"5,821",118,"12,227","6,515","83,201","4,004","4,303","8,520","52,217","73,087"
2020-21,Minnesota,"104,449","103,227","1,222",569,,"5,878",207,"13,319","6,285","65,163","3,251","5,672","4,105","35,723","68,726"
2020-21,Mississippi,"47,147","45,499","1,648",197,,664,27,"15,823","1,264","25,961",836,"1,545",830,"18,320","28,827"
2020-21,Missouri,"92,565","89,920","2,645",361,,"3,394",128,"8,667","5,278","63,338","3,051","2,873","5,475","37,463","55,102"
2020-21,Montana,"10,928","10,736",192,599,,277,25,97,430,"8,376",377,350,397,"4,517","6,411"
2020-21,Nebraska,"32,453","32,012",441,145,,953,53,"1,417","2,943","23,116","1,063","1,400","1,363","13,715","18,738"
2020-21,Nevada,"28,489","26,041","2,448",203,,"3,004",282,"2,087","7,894","11,757","1,917",761,584,"10,669","17,820"
2020-21,New Hampshire,"41,746","41,253",493,178,,"1,248",97,"4,270","3,166","27,267",794,"3,393","1,333","15,712","26,034"
2020-21,New Jersey,"103,635","94,530","9,105",172,,"10,005",198,"12,461","20,230","46,275","2,471","5,027","6,796","44,004","59,631"
2020-21,New Mexico,"30,423","29,586",837,"1,984",,775,54,860,"14,478","9,620",714,"1,128",810,"10,925","19,498"
2020-21,New York,"327,516","312,390","15,126",929,,"31,940",485,"40,113","51,792","145,170","8,241","12,329","36,517","128,182","199,334"
2020-21,North Carolina,"163,089","158,962","4,127","1,615",,"5,913",188,"29,336","14,201","95,319","4,937","4,923","6,657","67,647","95,442"
2020-21,North Dakota,"12,965","12,656",309,489,,177,11,342,488,"10,188",427,278,565,"5,587","7,378"
2020-21,Ohio,"173,739","161,856","11,883",391,,"5,342",166,"19,934","7,826","119,966","5,558","5,813","8,743","73,677","100,062"
2020-21,Oklahoma,"59,251","44,607","14,644","4,841",,"1,780",89,"4,219","6,455","33,547","4,762","1,431","2,127","25,303","33,948"
2020-21,Oregon,"54,093","52,453","1,640",484,,"3,188",296,"1,198","6,902","33,179","3,256","2,651","2,939","21,341","32,752"
2020-21,Pennsylvania,"182,818","175,198","7,620",272,,"10,861",148,"16,388","11,942","116,738","5,629","6,851","13,989","75,662","107,156"
2020-21,Rhode Island,"20,948","19,747","1,201",46,,946,11,"1,414","2,364","12,907",635,"1,367","1,258","8,726","12,222"
2020-21,South Carolina,"58,954","57,099","1,855",190,,"1,173",62,"11,464","2,842","38,679","1,917","1,118","1,509","23,293","35,661"
2020-21,South Dakota,"11,885","11,659",226,364,,210,13,346,439,"9,702",252,155,404,"5,194","6,691"
2020-21,Tennessee,"86,155","77,206","8,949",231,,"2,471",99,"13,383","4,317","59,306","2,333","2,019","1,996","33,459","52,696"
2020-21,Texas,"394,328","375,540","18,788","1,359",,"25,509",517,"44,461","144,546","142,058","10,107","6,744","19,027","157,505","236,823"
2020-21,Utah,"118,746","109,039","9,707","1,190",,"3,773",575,"4,343","11,299","85,854","2,757","6,947","2,008","46,312","72,434"
2020-21,Vermont,"10,455","10,338",117,38,,316,13,415,566,"7,901",348,502,356,"4,573","5,882"
2020-21,Virginia,"140,992","138,938","2,054",394,,"9,614",254,"22,952","11,699","76,127","5,491","9,326","5,135","56,995","83,997"
2020-21,Washington,"100,308","97,744","2,564",863,,"9,901",545,"3,893","13,102","52,276","7,100","5,803","6,825","40,950","59,358"
2020-21,West Virginia,"37,728","36,364","1,364",190,,697,146,"3,576","2,691","26,340","1,153","1,912","1,023","18,450","19,278"
2020-21,Wisconsin,"89,738","88,699","1,039",514,,"3,663",68,"3,865","6,133","67,335","2,303","2,221","3,636","35,404","54,334"
2020-21,Wyoming,"7,089","7,060",29,65,,69,13,73,637,"5,397",193,412,230,"3,255","3,834"
2019-20,Total,"5,137,005","4,921,013","215,992","30,542",,"329,675","11,685","559,799","857,745","2,663,434","169,732","203,964","310,429","2,110,754","3,026,251"
2019-20,Alabama,"78,445","77,333","1,112",500,,"1,586",84,"16,491","3,003","49,616","1,646","3,255","2,264","33,502","44,943"
2019-20,Alaska,"4,756","4,651",105,336,,251,67,111,345,"2,747",407,380,112,"1,848","2,908"
