state,state_fips_code,year,trade_school_check,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and  another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women)
North Dakota,ND,2024,False,Undergraduate total,Undergraduate,44590,21370,23220,2560,906,1654,1125,585,540,1511,813,698,2346,1240,1106,79,50,29,32056,15241,16815,1773,877,896,1942,960,982,1198,698,500,26,0,0000060020000..0,42946
North Dakota,ND,2024,True,All students total,All students total,10621,4461,6160,574,188,386,113,37,76,397,171,226,519,203,316,10,6,4,7444,3195,4249,511,188,323,812,339,473,241,134,107,3,0,000.000000,6565
Northern Marianas,MP,2024,False,Undergraduate total,Undergraduate,1457,549,908,0,0,0,604,262,342,1,1,0,21,5,16,553,172,381,12,6,6,133,56,77,6,3,3,127,44,83,0,0,0,1457
Ohio,OH,2024,False,Undergraduate total,Undergraduate,564296,242338,321958,1567,688,879,22424,9995,12429,62074,23667,38407,30533,12337,18196,497,222,275,376297,162265,214032,23691,9578,14113,28444,12901,15543,18769,10685,8084,1326,461,.7106600.0.00201000.461504201110.142250056.008500007000000000410004300.100000140.1101000............301500000.00.160.0015800000030100062000000,450600
Ohio,OH,2024,True,All students total,All students total,134418,51640,82778,432,183,249,2815,1003,1812,29293,8182,21111,8969,3378,5591,180,59,121,78348,32958,45390,5090,1703,3387,8351,3783,4568,940,391,549,205,274,000700.0000027400000000186000001000000057.00.000000.000.20000000000000.00000000000000000000000000000000000001500.00000000000000200000000700000.000,131391
Oklahoma,OK,2024,False,Undergraduate total,Undergraduate,134785,58046,76739,8495,3311,5184,4705,2183,2522,10844,4634,6210,16274,6571,9703,257,110,147,72609,31548,41061,14029,5823,8206,3707,1732,1975,3865,2134,1731,315,50,000160000000000013006000289370000.0,132197
Oklahoma,OK,2024,True,All students total,All students total,93249,38797,54452,10446,4238,6208,2961,1323,1638,7958,3025,4933,14533,5851,8682,240,99,141,45152,19288,25864,8523,3443,5080,2374,1032,1342,1062,498,564,226,0,00.000.00000000130.002150192000010000.0000000000000000000000020000000,91782
Oregon,OR,2024,False,Undergraduate total,Undergraduate,160001,72174,87827,1284,512,772,10474,4946,5528,4713,2151,2562,27653,11574,16079,967,433,534,89281,40083,49198,11348,4960,6388,11145,5696,5449,3136,1819,1317,1966,1174,37801430231387..020270.91691141184408032942102112270.0600,151848
Oregon,OR,2024,True,All students total,All students total,94219,40549,53670,1070,452,618,4467,1875,2592,2867,1314,1553,17292,6697,10595,520,217,303,52559,23115,29444,5311,2218,3093,9733,4454,5279,400,207,193,2348,2501,96392315790.32046700000000229015519038717924441.1110000000000.,87701
Palau,PW,2024,True,All students total,All students total,476,195,281,0,0,0,15,5,10,1,1,0,0,0,0,459,188,271,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,476
Pennsylvania,PA,2024,False,Undergraduate total,Undergraduate,443589,200822,242767,770,329,441,31705,14527,17178,41556,17185,24371,37429,15426,22003,330,151,179,266625,120393,146232,16210,7056,9154,28634,14105,14529,20330,11650,8680,19722,2111,...1260233027024018730...0.1510377450144.0000.0129032.01460003.000.000701300015.0.6477.811.2710245720..11338..489808.30101474622106912408.190683021000001600149.1300.00000.00160.0790015800,377485
Pennsylvania,PA,2024,True,All students total,All students total,183418,71752,111666,537,226,311,8012,3506,4506,34081,12036,22045,25795,9542,16253,242,92,150,95394,38701,56693,7400,2696,4704,10256,4230,6026,1701,723,978,382,217,000000659700390040150000000000022025120000.0000000.10840000.010417100000.0800.00.110.0000630400000.0.0000000006000000000000000000.0000000.00000000000000000000000000.0.00000,168867
Puerto Rico,PR,2024,False,Undergraduate total,Undergraduate,161354,63405,97949,466,172,294,139,67,72,3265,1160,2105,152514,60027,92487,58,22,36,1759,631,1128,373,142,231,2687,1140,1547,93,44,49,414,41,0.00000300000000008916410527166390.000.0.78003102000000000000.000000000,153834
Puerto Rico,PR,2024,True,All students total,All students total,22831,12570,10261,2,2,0,4,4,0,35,18,17,22763,12522,10241,0,0,0,27,24,3,0,0,0,0,0,0,0,0,0,0,0,000.0000000000000000000000000000000000000000000000000000,22831
Rhode Island,RI,2024,False,Undergraduate total,Undergraduate,61958,26854,35104,196,86,110,3739,1655,2084,4822,1865,2957,8608,3345,5263,48,25,23,36014,16212,19802,2209,946,1263,3636,1589,2047,2686,1131,1555,202,287,.07123.11124200270,44207
