Portfolio by Loan Type,,,,,,,,,,,,,,,,,,,,
Includes outstanding principal and interest balances,,,,,,,,,,,,,,,,,,,,
Data Source: National Student Loan Data System (NSLDS),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Stafford Subsidized,,Stafford Unsubsidized,,Stafford (Combined),,Grad PLUS,,Parent PLUS,,Perkins,,Consolidation,,,,,,
2023,Q3,$295.4,30.3,$585.4,30.7,$880.8,34.8,$101.9,1.7,$111.3,3.7,$3.7,1.2,$536.2,10.5,,,,,
2023,Q4,$295.6,30.6,$588.5,31.1,$884.1,35.2,$104.0,1.8,$112.2,3.8,$3.6,1.2,$498.3,9.8,,,,,
2024,Q1,$293.3,30.5,$585.2,31.0,$878.5,35.1,$103.4,1.8,$107.2,3.7,$3.5,1.1,$505.9,9.8,,,,,
2024,Q2,$295.4,30.2,$594.9,30.7,$890.3,34.8,$107.5,1.8,$109.8,3.6,$3.4,1.1,$509.2,9.7,,,,,
2024,Q3,$291.8,29.8,$590.8,30.4,$882.6,34.4,$107.7,1.7,$107.1,3.5,$3.3,1.1,$510.3,9.5,,,,,
2024,Q4,$294.4,30.2,$601.5,30.9,$895.9,34.9,$112.1,1.8,$110.3,3.6,$3.2,1.0,$517.2,9.5,,,,,
2025,Q1,$294.2,30.3,$603.1,31.0,$897.3,35.1,$112.2,1.8,$110.0,3.6,$3.1,1.0,$516.8,9.4,,,,,
2025,Q2,$296.7,30.1,$613.8,30.9,$910.5,34.9,$117.2,1.8,$114.3,3.6,$3.0,1.0,$515.6,9.3,,,,,
2025,Q3,$295.7,30.0,$616.2,30.7,$911.9,34.7,$119.2,1.8,$113.1,3.5,$2.9,0.9,$518.4,9.2,,,,,
,,,,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,,,,
1Totals may differ across portfolio reports due to rounding and the timing of the data runs.,,,,,,,,,,,,,,,,,,,,
"2 Data is run at the end of the corresponding federal fiscal year or at the end of each quarter listed by federal fiscal year. Each federal fiscal year begins October 1 and ends September 30. Q1 ends 12/31, Q2 ends 3/31, Q3 ends 6/30, and Q4 ends 9/30.",,,,,,,,,,,,,,,,,,,,
"3 Recipient is the student that benefits from the federal student loan. In most cases, the recipient is the borrower, but in parent PLUS loans, the parent is the borrower and their child is the recipient.",,,,,,,,,,,,,,,,,,,,
"4  Recipient counts are based at the loan level. As a result, recipients may be counted multiple times across varying loan statuses. Stafford (Combined) is the total of Stafford Subsidized and Stafford Unsubsidized and includes a unique Stafford recipient count. ",,,,,,,,,,,,,,,,,,,,
