Completion Year,State,Total,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
2022-23,Ohio,"175,497",445,N/A,"5,934",161,"20,444","9,061","117,386","5,789","6,963","9,314"
2022-23,Oklahoma,"59,386","5,012",N/A,"1,974",89,"4,174","6,821","32,622","4,993","1,563","2,138"
2022-23,Oregon,"50,400",446,N/A,"3,135",247,"1,219","7,448","30,502","2,997","2,211","2,195"
2022-23,Pennsylvania,"179,037",268,N/A,"12,218",135,"16,460","13,392","109,461","5,311","6,525","15,267"
2022-23,Rhode Island,"20,908",51,N/A,"1,044",10,"1,567","2,724","12,373",684,"1,073","1,382"
2022-23,South Carolina,"63,844",254,N/A,"1,441",63,"12,324","3,659","40,735","2,321","1,533","1,514"
2022-23,South Dakota,"12,042",476,N/A,186,24,353,421,"9,617",279,258,428
2022-23,Tennessee,"87,270",206,N/A,"2,467",69,"13,206","5,220","58,161","2,669","2,434","2,838"
2022-23,Texas,"395,476","1,369",N/A,"26,734",448,"43,329","149,092","133,730","10,906","7,673","22,195"
2022-23,Utah,"118,329",942,N/A,"3,785",569,"4,422","12,391","83,764","3,461","6,294","2,701"
2022-23,Vermont,"10,109",25,N/A,305,6,381,628,"7,630",361,437,336
2022-23,Virginia,"139,587",372,N/A,"9,677",232,"22,710","11,727","73,706","5,737","9,697","5,729"
2022-23,Washington,"89,264",737,N/A,"9,996",457,"3,982","13,064","44,891","6,419","3,938","5,780"
2022-23,West Virginia,"37,348",161,N/A,770,148,"3,613","2,997","25,488","1,277","2,015",879
2022-23,Wisconsin,"90,203",539,N/A,"3,971",69,"4,122","7,082","65,886","2,698","2,097","3,739"
2022-23,Wyoming,"7,507",89,N/A,79,18,54,819,"5,651",252,339,206
2021-22,Total,"5,239,442","31,075",N/A,"359,376","12,059","589,507","937,460","2,637,300","184,384","216,258","272,023"
2021-22,Alabama,"79,833",432,N/A,"1,577",77,"16,441","3,168","50,663","2,120","3,133","2,222"
2021-22,Alaska,"4,075",372,N/A,237,77,123,317,"2,185",415,274,75
2021-22,Arizona,"175,884","3,113",N/A,"7,466",797,"19,019","42,395","76,522","6,566","15,869","4,137"
2021-22,Arkansas,"53,053",354,N/A,"1,012",54,"7,821","4,049","35,609","2,045",692,"1,417"
2021-22,California,"727,526","2,301",N/A,"111,949","2,961","35,787","282,457","186,100","31,988","32,519","41,464"
2021-22,Colorado,"94,902",720,N/A,"3,515",239,"6,108","16,596","54,017","3,981","6,770","2,956"
2021-22,Connecticut,"51,535",120,N/A,"2,972",48,"5,708","7,449","28,100","1,833","1,769","3,536"
2021-22,Delaware,"13,906",46,N/A,546,17,"2,555","1,207","7,773",478,302,982
2021-22,District of Columbia,"28,736",63,N/A,"2,228",36,"5,794","2,683","12,041","1,019","1,467","3,405"
2021-22,Florida,"342,068",797,N/A,"12,060",679,"56,599","100,022","133,791","10,711","12,830","14,579"
2021-22,Georgia,"153,198",392,N/A,"8,730",186,"44,853","13,389","71,224","4,646","2,642","7,136"
2021-22,Hawaii,"13,141",20,N/A,"4,084",722,207,"1,591","2,111","3,366",166,874
2021-22,Idaho,"27,686",171,N/A,584,107,375,"3,625","20,573",949,574,728
2021-22,Illinois,"206,716",418,N/A,"15,137",272,"22,717","34,922","107,046","5,599","8,002","12,603"
2021-22,Indiana,"125,999",268,N/A,"5,055",183,"11,275","8,961","86,734","4,404","3,103","6,016"
2021-22,Iowa,"52,355",190,N/A,"1,515",61,"2,444","3,699","37,764","1,370","2,733","2,579"
2021-22,Kansas,"52,393",492,N/A,"1,546",91,"3,086","5,637","34,031","1,940","3,649","1,921"
2021-22,Kentucky,"89,144",151,N/A,"1,771",87,"6,053","3,704","64,446","2,492","5,373","5,067"
2021-22,Louisiana,"65,750",433,N/A,"1,774",223,"17,845","3,752","35,553","1,778","2,399","1,993"
2021-22,Maine,"14,902",98,N/A,398,16,542,513,"11,912",405,625,393
2021-22,Maryland,"87,910",223,N/A,"7,739",154,"20,068","7,955","38,092","3,442","3,804","6,433"
2021-22,Massachusetts,"137,340",198,N/A,"12,022",99,"9,511","13,549","69,084","4,090","7,827","20,960"
2021-22,Michigan,"122,956",603,N/A,"6,016",121,"12,402","6,808","80,975","4,064","4,673","7,294"
2021-22,Minnesota,"103,702",553,N/A,"6,251",184,"13,894","6,685","63,959","3,289","4,976","3,911"
2021-22,Mississippi,"47,035",211,N/A,662,29,"16,865","1,256","25,289",853,"1,090",780
2021-22,Missouri,"90,383",337,N/A,"3,320",138,"8,423","5,341","61,847","3,071","2,546","5,360"
2021-22,Montana,"11,143",601,N/A,427,13,115,423,"8,547",421,338,258
2021-22,Nebraska,"32,033",175,N/A,"1,067",46,"1,327","3,120","22,894","1,125",987,"1,292"
2021-22,Nevada,"30,250",201,N/A,"3,162",293,"2,457","8,748","11,557","2,134","1,104",594
2021-22,New Hampshire,"44,131",192,N/A,"1,227",115,"4,417","3,683","27,540",895,"4,547","1,515"
2021-22,New Jersey,"103,406",174,N/A,"10,319",190,"13,170","21,345","45,254","2,558","4,955","5,441"
2021-22,New Mexico,"29,808","2,111",N/A,687,73,876,"14,102","9,296",807,"1,037",819
2021-22,New York,"315,276",829,N/A,"32,641",423,"37,614","49,735","140,443","8,505","11,466","33,620"
2021-22,North Carolina,"158,361","1,670",N/A,"6,191",181,"28,170","14,427","91,700","5,192","4,887","5,943"
2021-22,North Dakota,"12,903",540,N/A,191,13,375,445,"10,111",431,220,577
2021-22,Ohio,"176,822",401,N/A,"5,852",181,"20,834","8,570","120,685","5,868","6,700","7,731"
2021-22,Oklahoma,"59,210","4,966",N/A,"1,931",81,"4,358","6,312","33,589","4,860","1,498","1,615"
2021-22,Oregon,"52,317",478,N/A,"3,248",264,"1,264","7,252","32,034","2,978","2,524","2,275"
2021-22,Pennsylvania,"181,899",263,N/A,"11,554",151,"16,828","12,839","115,306","5,655","6,518","12,785"
2021-22,Rhode Island,"20,933",46,N/A,"1,034",16,"1,518","2,610","12,420",677,"1,358","1,254"
2021-22,South Carolina,"59,588",176,N/A,"1,297",53,"11,627","3,123","38,160","1,925","1,904","1,323"
2021-22,South Dakota,"11,762",428,N/A,184,18,325,413,"9,621",263,148,362
2021-22,Tennessee,"85,496",241,N/A,"2,390",78,"13,432","4,643","58,159","2,560","1,967","2,026"
2021-22,Texas,"393,346","1,325",N/A,"26,774",504,"45,083","146,356","138,580","10,677","7,622","16,425"
2021-22,Utah,"118,010","1,053",N/A,"3,788",639,"4,056","11,982","84,252","3,138","6,952","2,150"
2021-22,Vermont,"10,329",29,N/A,340,8,386,582,"7,851",359,395,379
2021-22,Virginia,"141,912",433,N/A,"9,792",258,"23,236","11,800","75,478","5,865","10,348","4,702"
2021-22,Washington,"94,993",854,N/A,"10,311",537,"3,829","13,150","49,247","6,548","4,635","5,882"
2021-22,West Virginia,"36,869",146,N/A,706,169,"3,664","2,785","25,373","1,220","1,919",887
2021-22,Wisconsin,"89,387",579,N/A,"4,036",82,"3,958","6,646","66,351","2,562","2,042","3,131"
2021-22,Wyoming,"7,130",88,N/A,61,15,73,639,"5,411",247,380,216
2020-21,Total,"5,242,994","30,791",N/A,"344,399","12,096","587,071","906,230","2,674,671","177,695","213,074","296,967"
2020-21,Alabama,"80,207",480,N/A,"1,528",68,"16,362","3,154","50,532","1,954","3,741","2,388"
2020-21,Alaska,"4,517",388,N/A,246,66,115,359,"2,525",429,302,87
2020-21,Arizona,"173,348","2,885",N/A,"7,082",800,"19,763","39,604","76,682","6,219","15,279","5,034"
2020-21,Arkansas,"49,997",301,N/A,905,49,"7,003","3,724","34,222","1,697",628,"1,468"
2020-21,California,"713,621","2,270",N/A,"107,530","3,013","35,068","270,550","187,990","30,916","32,287","43,997"
2020-21,Colorado,"91,942",746,N/A,"3,289",229,"5,579","15,457","54,172","3,771","5,553","3,146"
2020-21,Connecticut,"50,840",117,N/A,"2,849",52,"5,670","6,892","27,869","1,970","1,790","3,631"
2020-21,Delaware,"14,250",45,N/A,541,26,"2,612","1,201","7,980",430,280,"1,135"
2020-21,District of Columbia,"29,868",51,N/A,"2,234",41,"6,128","2,674","12,275","1,025","1,576","3,864"
2020-21,Florida,"347,495",834,N/A,"11,803",699,"56,499","98,265","138,233","10,114","15,341","15,707"
2020-21,Georgia,"154,032",414,N/A,"8,072",175,"45,473","12,468","73,227","4,330","2,800","7,073"
2020-21,Hawaii,"13,446",30,N/A,"4,299",691,233,"1,500","2,099","3,312",260,"1,022"
2020-21,Idaho,"27,371",180,N/A,509,99,326,"2,801","20,270","1,147",890,"1,149"
2020-21,Illinois,"202,543",414,N/A,"14,475",264,"21,867","32,911","105,993","5,363","7,670","13,586"
2020-21,Indiana,"123,925",303,N/A,"4,366",175,"11,202","8,345","85,766","4,211","2,673","6,884"
2020-21,Iowa,"52,060",186,N/A,"1,468",52,"2,435","3,474","37,533","1,307","2,827","2,778"
2020-21,Kansas,"53,824",630,N/A,"1,451",90,"3,489","5,582","34,852","2,009","2,178","3,543"
2020-21,Kentucky,"86,790",138,N/A,"1,479",102,"5,790","3,178","65,220","2,337","4,047","4,499"
2020-21,Louisiana,"65,815",399,N/A,"1,721",241,"18,250","3,729","35,465","1,719","2,153","2,138"
2020-21,Maine,"14,602",84,N/A,381,12,513,429,"11,779",379,669,356
2020-21,Maryland,"89,473",213,N/A,"7,438",180,"20,457","7,973","38,857","3,422","3,648","7,285"
2020-21,Massachusetts,"135,092",215,N/A,"11,171",84,"9,294","13,236","69,067","3,757","7,228","21,040"
2020-21,Michigan,"125,304",595,N/A,"5,821",118,"12,227","6,515","83,201","4,004","4,303","8,520"
2020-21,Minnesota,"104,449",569,N/A,"5,878",207,"13,319","6,285","65,163","3,251","5,672","4,105"
2020-21,Mississippi,"47,147",197,N/A,664,27,"15,823","1,264","25,961",836,"1,545",830
2020-21,Missouri,"92,565",361,N/A,"3,394",128,"8,667","5,278","63,338","3,051","2,873","5,475"
2020-21,Montana,"10,928",599,N/A,277,25,97,430,"8,376",377,350,397
2020-21,Nebraska,"32,453",145,N/A,953,53,"1,417","2,943","23,116","1,063","1,400","1,363"
2020-21,Nevada,"28,489",203,N/A,"3,004",282,"2,087","7,894","11,757","1,917",761,584
2020-21,New Hampshire,"41,746",178,N/A,"1,248",97,"4,270","3,166","27,267",794,"3,393","1,333"
2020-21,New Jersey,"103,635",172,N/A,"10,005",198,"12,461","20,230","46,275","2,471","5,027","6,796"
2020-21,New Mexico,"30,423","1,984",N/A,775,54,860,"14,478","9,620",714,"1,128",810
2020-21,New York,"327,516",929,N/A,"31,940",485,"40,113","51,792","145,170","8,241","12,329","36,517"
2020-21,North Carolina,"163,089","1,615",N/A,"5,913",188,"29,336","14,201","95,319","4,937","4,923","6,657"
2020-21,North Dakota,"12,965",489,N/A,177,11,342,488,"10,188",427,278,565
2020-21,Ohio,"173,739",391,N/A,"5,342",166,"19,934","7,826","119,966","5,558","5,813","8,743"
2020-21,Oklahoma,"59,251","4,841",N/A,"1,780",89,"4,219","6,455","33,547","4,762","1,431","2,127"
2020-21,Oregon,"54,093",484,N/A,"3,188",296,"1,198","6,902","33,179","3,256","2,651","2,939"
2020-21,Pennsylvania,"182,818",272,N/A,"10,861",148,"16,388","11,942","116,738","5,629","6,851","13,989"
2020-21,Rhode Island,"20,948",46,N/A,946,11,"1,414","2,364","12,907",635,"1,367","1,258"
2020-21,South Carolina,"58,954",190,N/A,"1,173",62,"11,464","2,842","38,679","1,917","1,118","1,509"
2020-21,South Dakota,"11,885",364,N/A,210,13,346,439,"9,702",252,155,404
2020-21,Tennessee,"86,155",231,N/A,"2,471",99,"13,383","4,317","59,306","2,333","2,019","1,996"
2020-21,Texas,"394,328","1,359",N/A,"25,509",517,"44,461","144,546","142,058","10,107","6,744","19,027"
2020-21,Utah,"118,746","1,190",N/A,"3,773",575,"4,343","11,299","85,854","2,757","6,947","2,008"
2020-21,Vermont,"10,455",38,N/A,316,13,415,566,"7,901",348,502,356
2020-21,Virginia,"140,992",394,N/A,"9,614",254,"22,952","11,699","76,127","5,491","9,326","5,135"
2020-21,Washington,"100,308",863,N/A,"9,901",545,"3,893","13,102","52,276","7,100","5,803","6,825"
2020-21,West Virginia,"37,728",190,N/A,697,146,"3,576","2,691","26,340","1,153","1,912","1,023"
2020-21,Wisconsin,"89,738",514,N/A,"3,663",68,"3,865","6,133","67,335","2,303","2,221","3,636"
2020-21,Wyoming,"7,089",65,N/A,69,13,73,637,"5,397",193,412,230
2019-20,Total,"5,137,005","30,542",N/A,"329,675","11,685","559,799","857,745","2,663,434","169,732","203,964","310,429"
2019-20,Alabama,"78,445",500,N/A,"1,586",84,"16,491","3,003","49,616","1,646","3,255","2,264"
2019-20,Alaska,"4,756",336,N/A,251,67,111,345,"2,747",407,380,112
2019-20,Arizona,"167,428","3,020",N/A,"6,642",703,"17,154","38,104","75,801","5,977","14,650","5,377"
2019-20,Arkansas,"49,934",336,N/A,798,64,"7,062","3,404","34,907","1,445",432,"1,486"
2019-20,California,"704,718","2,158",N/A,"104,485","2,851","34,687","261,868","190,061","30,737","29,702","48,169"
2019-20,Colorado,"94,730",791,N/A,"3,335",244,"5,484","14,864","57,204","3,707","5,742","3,359"
2019-20,Connecticut,"51,701",118,N/A,"2,782",52,"5,506","6,774","28,905","1,685","2,022","3,857"
2019-20,Delaware,"13,394",41,N/A,490,16,"2,237","1,001","7,621",390,325,"1,273"
2019-20,District of Columbia,"29,359",70,N/A,"2,011",36,"5,756","2,572","12,303",926,"1,538","4,147"
2019-20,Florida,"330,544",888,N/A,"11,309",644,"52,588","90,923","134,928","9,634","14,630","15,000"
2019-20,Georgia,"151,873",447,N/A,"7,689",153,"44,342","11,614","73,930","4,026","2,797","6,875"
2019-20,Hawaii,"13,575",29,N/A,"4,413",764,242,"1,450","2,238","3,286",199,954
2019-20,Idaho,"26,727",178,N/A,449,83,305,"2,534","20,011","1,089",963,"1,115"
2019-20,Illinois,"202,737",385,N/A,"13,842",275,"21,521","31,879","108,696","5,026","7,533","13,580"
2019-20,Indiana,"117,907",266,N/A,"3,946",134,"10,068","6,968","82,344","3,756","2,651","7,774"
2019-20,Iowa,"52,679",183,N/A,"1,391",64,"2,345","3,285","38,443","1,165","2,542","3,261"
2019-20,Kansas,"54,031",599,N/A,"1,428",101,"3,628","5,328","35,020","2,016","2,649","3,262"
2019-20,Kentucky,"87,008",133,N/A,"1,483",58,"5,468","2,964","65,623","2,261","2,993","6,025"
2019-20,Louisiana,"64,719",395,N/A,"1,670",238,"17,263","3,530","35,702","1,685","2,111","2,125"
2019-20,Maine,"14,398",122,N/A,320,18,489,411,"11,591",360,761,326
2019-20,Maryland,"86,651",232,N/A,"6,962",139,"19,581","7,322","38,795","3,051","3,434","7,135"
2019-20,Massachusetts,"136,114",184,N/A,"11,104",126,"9,111","12,297","70,549","3,830","7,116","21,797"
2019-20,Michigan,"129,146",631,N/A,"5,587",114,"12,374","6,222","86,994","3,943","4,583","8,698"
2019-20,Minnesota,"100,734",556,N/A,"5,491",122,"12,148","5,216","64,118","2,973","5,858","4,252"
2019-20,Mississippi,"45,925",213,N/A,761,30,"15,096","1,155","25,904",746,"1,191",829
2019-20,Missouri,"93,507",417,N/A,"3,119",133,"8,985","4,815","64,381","2,894","2,829","5,934"
2019-20,Montana,"11,257",533,N/A,269,28,88,389,"8,717",436,414,383
2019-20,Nebraska,"29,821",145,N/A,837,46,"1,241","2,479","21,624","1,003","1,087","1,359"
2019-20,Nevada,"27,451",205,N/A,"2,921",262,"1,854","7,107","11,849","1,760",844,649
2019-20,New Hampshire,"35,941",159,N/A,"1,040",100,"3,330","2,480","24,343",626,"2,862","1,001"
2019-20,New Jersey,"100,787",193,N/A,"9,284",191,"12,366","18,876","45,886","2,347","5,088","6,556"
2019-20,New Mexico,"32,415","2,154",N/A,743,72,999,"15,186","10,480",784,"1,205",792
2019-20,New York,"324,650",873,N/A,"30,519",456,"37,819","50,263","145,684","7,704","12,886","38,446"
2019-20,North Carolina,"155,975","1,559",N/A,"5,614",192,"28,131","12,574","91,676","4,519","4,752","6,958"
2019-20,North Dakota,"13,020",563,N/A,174,16,384,429,"10,094",445,310,605
2019-20,Ohio,"167,261",351,N/A,"4,962",130,"17,554","6,941","117,315","5,008","5,725","9,275"
2019-20,Oklahoma,"57,143","4,674",N/A,"1,586",115,"4,024","5,783","32,648","4,488","1,492","2,333"
2019-20,Oregon,"54,025",500,N/A,"3,038",260,"1,171","6,540","33,950","3,017","2,522","3,027"
2019-20,Pennsylvania,"182,801",286,N/A,"10,531",156,"16,008","11,540","117,419","5,188","6,552","15,121"
2019-20,Rhode Island,"21,457",62,N/A,998,23,"1,347","2,304","12,942",689,"1,734","1,358"
2019-20,South Carolina,"57,002",197,N/A,"1,078",60,"10,787","2,744","37,792","1,777","1,138","1,429"
2019-20,South Dakota,"12,415",488,N/A,195,12,372,450,"10,033",276,161,428
2019-20,Tennessee,"84,001",208,N/A,"2,344",78,"12,587","3,715","58,701","2,333","1,828","2,207"
2019-20,Texas,"380,701","1,342",N/A,"23,927",546,"42,479","136,495","140,292","9,604","6,748","19,268"
2019-20,Utah,"107,410",698,N/A,"3,438",526,"3,838","9,713","79,613","3,115","4,436","2,033"
2019-20,Vermont,"10,767",24,N/A,309,12,395,587,"8,220",338,501,381
2019-20,Virginia,"136,193",440,N/A,"8,815",276,"22,288","10,450","74,175","5,020","9,075","5,654"
2019-20,Washington,"99,598",949,N/A,"9,454",566,"3,761","12,420","52,707","6,785","5,812","7,144"
2019-20,West Virginia,"35,902",132,N/A,623,146,"3,203","2,165","25,831","1,053","1,691","1,058"
2019-20,Wisconsin,"89,616",493,N/A,"3,579",90,"3,660","5,715","68,037","2,527","1,799","3,716"
2019-20,Wyoming,"6,656",86,N/A,53,13,71,552,"4,974",229,416,262
2018-19,Total,"5,144,436","31,913",N/A,"321,030","12,169","570,506","828,075","2,703,429","161,577","207,971","307,766"
2018-19,Alabama,"77,324",548,N/A,"1,562",75,"16,770","2,738","49,478","1,534","2,364","2,255"
2018-19,Alaska,"4,974",460,N/A,291,34,125,361,"2,781",415,414,93
2018-19,Arizona,"166,043","3,198",N/A,"6,471",728,"16,962","36,773","76,338","5,764","14,167","5,642"
2018-19,Arkansas,"49,755",391,N/A,749,54,"7,253","2,987","34,993","1,374",400,"1,554"
2018-19,California,"700,917","2,272",N/A,"103,399","2,993","35,183","254,636","196,661","29,352","29,350","47,071"
